name,Energie,Acide Gras,Sucre,Sodium,Proteine,Fibre,Teneur en fruits,nova_grade,nutriscore_grade,nutriscore_score,categories
Duo de quinoa,502.0,0.5,0.6,204.0,5.0,2.9,0.0,3.0,A,-3,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Graines, Céréales et dérivés, Plats préparés, Céréales en grains, Légumes préparés, Légumes cuits, Quinoa"
Petit Epeautre BIO,701.0,0.3,0.5,192.0,6.4,5.3,0.0,3.0,A,-4,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Plats préparés, Légumes préparés, Légumes cuits"
Carottes lamelles,154.0,0.1,5.9,20.0,0.5,2.7,100.0,3.0,A,-6,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Légumes et dérivés, Légumes préparés, Carottes, Légumes cuits, Carottes cuites"
LENTILLES VERTES 300 G FRAICHEMENT CUIT by LUNOR,431.0,0.1,0.5,244.0,8.4,5.5,66.0,4.0,A,-9,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Légumineuses, Graines, Graines de légumineuses, Plats préparés, Légumineuses sèches, Légumes préparés, Légumes cuits, Lentilles, Lentilles vertes"
Pommes de terre entière sans peau,329.0,0.1,0.5,68.0,1.1,1.5,0.0,3.0,A,-1,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Aliments à base de fruits et de légumes, Plats préparés, Légumes et dérivés, Pommes de terre, Légumes préparés, Légumes cuits, Pommes de terre cuites"
Saucisses aux Lentilles - aux Petits Oignons,436.0,1.7,0.7,360.0,6.8,2.4,35.12,4.0,A,-1,"Conserves, Viandes et dérivés, Plats préparés, Plats préparés à la viande, Plats préparés en conserve, Plats à base de lentilles, Saucisses aux lentilles"
Eau minérale naturelle,0.0001,0.0001,0.0001,0.04,0.0001,0.0001,0.0,1.0,A,0,"Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles, Eau minérale naturelle non gazeuse"
Harrys pain de mie 100% mie complet sans croute bio 325g,1043.0,0.5,5.0,520.0,8.5,7.7,0.0,4.0,A,-1,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains de mie, Pains de mie sans croûte, Pains complets, Pains de mie complet"
Ratatouille,243.0,0.5,4.6,365.76,1.1,3.0,86.5,4.0,A,-3,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Plats préparés, Légumes préparés, Plats préparés en conserve, Ratatouilles"
Sauce bolognaise pur boeuf,281.0,0.1,3.8,280.0,3.4,1.9,50.97,3.0,A,-1,"Condiments, en:meat-based-products, Sauces, Sauces à la viande, Sauces pour pâtes, Sauce tomate à la viande, Sauces bolognaises, Epicerie"
Sauce bolognaise pur boeuf,281.0,0.1,3.8,280.0,3.4,1.9,50.97,3.0,A,-1,"Condiments, en:meat-based-products, Sauces, Sauces à la viande, Sauces pour pâtes, Sauce tomate à la viande, Sauces bolognaises, Epicerie"
"Spaghetti à la bolognaise Bio, avec morceaux",234.0,0.2,2.1,112.0,2.9,1.4,0.0,3.0,A,-1,Repas pour bébés
Sauce bolognaise pur boeuf,281.0,0.1,3.8,280.0,3.4,1.9,50.97,3.0,A,-1,"Condiments, en:meat-based-products, Sauces, Sauces à la viande, Sauces pour pâtes, Sauce tomate à la viande, Sauces bolognaises, Epicerie"
Sauce bolognaise pur boeuf,281.0,0.1,3.8,280.0,3.4,1.9,50.97,3.0,A,-1,"Condiments, en:meat-based-products, Sauces, Sauces à la viande, Sauces pour pâtes, Sauce tomate à la viande, Sauces bolognaises, Epicerie"
Lentilles façon Bolognaise,186.0,0.1,2.1,328.0,2.6,2.6,96.3,3.0,A,-5,"Condiments, Sauces, Sauces tomate, Sauces aux légumes, Sauces tomate aux petits légumes, en:groceries, Préemballée"
530g PETITS POIS EXTRA FINS CAROTTES,244.0,0.0,3.0,200.0,4.0,4.3,80.0,3.0,A,-8,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve"
Son d'avoine,374.0,1.4,0.9,0.0,12.7,13.5,0.0,1.0,A,-8,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Son, Sons de céréales, Sons d'avoine"
Harrys beau & bon pain de mie farine de ble cereales & graines 320g,1246.0,0.8,3.0,400.0,13.0,6.0,0.0,4.0,A,-3,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains de mie, Pains blancs, Pain blanc à base de farine de blé de la plus haute qualité GOST 26987-86, Pains de mie aux céréales"
Harrys pain de mie extra moelleux nature sans sucres ajoutés 500g,1171.0,0.5,6.5,472.0,8.1,5.0,0.0,4.0,A,-1,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains de mie, Pains de mie blancs nature"
DUO DE HARICOTS VERTS & BEURRE,108.0,0.0,0.7,224.0,1.6,3.0,84.5,3.0,A,-6,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Haricots verts, Légumineuses en conserve, Haricots verts en conserve, Légumes français"
Bien cultivés - Haricots verts,100.0,0.0,0.7,184.0,1.8,2.9,95.0,3.0,A,-7,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Aliments à base de fruits et de légumes, Légumineuses, Légumes et dérivés, Haricots verts"
Pesto de pois cassés & menthe,1047.0,2.32,1.6,280.0,4.72,4.71,70.4,3.0,A,-2,"Condiments, Sauces, Sauces Pesto, en:groceries, Préemballée"
Harrys pain de mie american sandwich 7 cereales,1171.0,0.7,5.0,440.0,10.0,6.0,0.0,4.0,A,-2,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains de mie, Pains de mie aux céréales"
Coq au Vin aux pommes de terre et aux carottes,371.0,0.7,0.9,244.0,6.58,1.0,35.75,4.0,A,-2,"Conserves, Plats préparés, en:meat-based-products, Plats préparés à la viande, Plats à la volaille, Plats préparés en conserve, Plats au poulet, Coq au vin"
Paupiette de veau jardinière de légumes,465.0,1.5,1.6,232.0,8.1,2.1,31.9,3.0,A,-3,"Viandes, Plats préparés, en:meat-based-products, Plats préparés à la viande, Plats au bœuf, Viandes de veau, Plats préparés à réchauffer au micro-ondes, Plats au veau, Paupiette de veau"
8 palets de légumes,385.0,0.5,3.1,360.0,4.9,3.2,90.0,4.0,A,-7,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Surgelés, Plats préparés, Légumes préparés, Palets de légumes préfrits cuits surgelés, Produits surgelés"
